	CIK	FILING_DATE	ACC_NUM
0	278165	20140402	0001393905-14-000168
1	1688476	20170321	0001688476-17-000007
2	1661600	20180110	0001511164-18-000011
3	1121702	20150325	0001121702-15-000010
4	1392091	20200326	0001437749-20-006224
5	1713952	20220301	0001713952-22-000007
6	1267565	20200227	0001558370-20-001625
7	928340	20180316	0001144204-18-015327
8	1581068	20190211	0001581068-19-000005
9	1463972	20180316	0001144204-18-015310
10	907254	20170307	0000907254-17-000020
11	203596	20140228	0001193125-14-077330
12	66004	20220225	0001174947-22-000283
13	854775	20141211	0000854775-14-000021
14	1637655	20220310	0001637655-22-000062
15	1773427	20220224	0001773427-22-000011
16	1835022	20230329	0000950170-23-010599
17	716634	20150317	0001562762-15-000083
18	1425450	20200305	0001425450-20-000023
19	1289419	20200302	0001289419-20-000041
20	700923	20180307	0001144204-18-013353
21	1567514	20180301	0001193125-18-067144
22	863110	20200313	0000863110-20-000009
23	1107421	20180301	0001193125-18-067077
24	1524769	20180321	0001524769-18-000009
25	928658	20180228	0001008886-18-000007
26	1124140	20230221	0001124140-23-000014
27	878828	20150331	0000930413-15-001568
28	766404	20220414	0000766404-22-000003
29	59440	20170301	0000059440-17-000007
30	30554	20220210	0001755672-22-000005
31	738214	20160329	0001354488-16-006728
32	908255	20230209	0000908255-23-000013
33	59558	20180222	0000059558-18-000009
34	1838359	20220223	0001564590-22-006345
35	1800637	20220331	0001213900-22-016936
36	1108645	20190401	0001387131-19-002368
37	1835800	20230331	0001213900-23-024810
38	1069533	20171208	0001069533-17-000036
39	1475922	20180226	0001564590-18-003151
40	1724965	20230301	0000950170-23-005278
41	701347	20160225	0000701347-16-000034
42	899751	20170315	0000899751-17-000009
43	66600	20200116	0001477932-20-000242
44	809248	20230309	0000809248-23-000041
45	915779	20200612	0000915779-20-000028
46	1173204	20140626	0001173204-14-000006
47	1511161	20140414	0001117768-14-000314
48	1829328	20210330	0001213900-21-018424
49	1819404	20210216	0001564590-21-006075
50	1022408	20220526	0001140361-22-020620
51	1375348	20130930	0001199835-13-000621
52	1637459	20180216	0001637459-18-000015
53	8328	20210415	0001575872-21-000073
54	1628945	20230316	0001628945-23-000063
55	915389	20190227	0000915389-19-000009
56	945841	20140227	0000945841-14-000019
57	733590	20160330	0001387131-16-004817
58	877212	20170227	0000877212-17-000009
59	1489874	20170307	0001558370-17-001413
60	1786431	20230208	0001628280-23-002692
61	17313	20230523	0000017313-23-000025
62	1138978	20201209	0001493152-20-023201
63	783280	20190222	0000783280-19-000010
64	719274	20210625	0001437749-21-015674
65	856984	20160414	0001295345-16-000517
66	867840	20210928	0001683168-21-004557
67	1092796	20190619	0001564590-19-022862
68	1181749	20140129	0001181749-14-000002
69	1575965	20190213	0001575965-19-000005
70	1692819	20210226	0001692819-21-000004
71	891024	20220629	0000891024-22-000005
72	91440	20130214	0001193125-13-058193
73	1421461	20230307	0001421461-23-000010
74	1349436	20230315	0001628280-23-008082
75	1552000	20210226	0001552000-21-000017
76	842722	20140122	0001144204-14-003213
77	1399520	20220316	0001558370-22-003762
78	1669400	20210420	0001213900-21-022151
79	1681682	20190311	0001654954-19-002560
80	1070423	20160225	0001104659-16-100030
81	1448558	20180424	0001445866-18-000459
82	1437107	20210222	0001437107-21-000018
83	1538210	20230328	0001538210-23-000007
84	1572317	20140415	0001096350-14-000003
85	92230	20160225	0000092230-16-000125
86	832489	20140314	0001437749-14-004217
87	1501729	20210310	0001104659-21-034574
88	28412	20150217	0000028412-15-000031
89	1403568	20150401	0001193125-15-115602
90	746515	20130227	0000746515-13-000004
91	1363958	20180329	0001615774-18-002185
92	1739410	20230306	0000950170-23-006264
93	1828016	20220302	0001828016-22-000016
94	1581990	20150225	0001104659-15-013899
95	1371285	20210212	0001371285-21-000041
96	768710	20200327	0001437749-20-006287
97	1070412	20150206	0001070412-15-000009
98	1046995	20140313	0001013762-14-000233
99	1085913	20180316	0001140361-18-013710
200	1412659	20180116	0001662252-18-000011
385	1568875	20170407	0001185185-17-000852
609	1517389	20170511	0001477932-17-002170
405	784977	20150213	0000784977-15-000005
866	1566610	20230417	0001493152-23-012571
955	1370946	20190220	0001370946-19-000012
39	1475922	20180226	0001564590-18-003151
640	20286	20220224	0000020286-22-000012
732	1433195	20210301	0001433195-21-000024
