,CIK,FILING_DATE,ACC_NUM
0,1750,20030113,0001047469-03-001161
1,1750,20030414,0001104659-03-006403
2,1750,20031014,0001104659-03-022660
3,1800,20030515,0001047469-03-018718
4,1800,20031110,0001047469-03-036636
5,2098,20030430,0001026608-03-000067
6,2098,20031024,0001026608-03-000101
7,2178,20030514,0000950129-03-002711
8,2178,20030813,0000950129-03-004165
9,2178,20031113,0000950129-03-005627
10,2186,20030515,0001116502-03-000857
11,2186,20030814,0001116502-03-001492
12,2488,20030513,0001012870-03-002509
13,2488,20030812,0001193125-03-033907
14,2488,20031112,0001193125-03-078414
15,2969,20030213,0000950123-03-001429
16,2969,20030514,0000950123-03-005925
17,2969,20030813,0000950123-03-009382
18,3197,20030509,0000950131-03-002726
19,3197,20030814,0001193125-03-036822
20,3197,20031114,0001193125-03-081859
21,3453,20030428,0000003453-03-000016
22,3453,20030731,0000003453-03-000023
23,3453,20031031,0000003453-03-000037
24,3499,20030507,0000950123-03-005422
25,3499,20030807,0000950123-03-009048
26,3499,20031106,0000950123-03-012223
27,3545,20030113,0000003545-03-000001
28,3545,20030714,0000003545-03-000010
29,3570,20030509,0001193125-03-004178
30,3570,20030813,0001193125-03-036042
31,3570,20031113,0001193125-03-080285
32,4127,20030210,0000950135-03-000830
33,4127,20030512,0000004127-03-000006
34,4127,20030811,0000004127-03-000038
35,4281,20030425,0000927016-03-002060
36,4281,20030724,0001193125-03-023078
37,4281,20031024,0001193125-03-066576
38,4447,20030514,0000950123-03-005930
39,4447,20030814,0000950123-03-009468
40,4447,20031112,0000950123-03-012528
41,4904,20030514,0000004904-03-000161
42,4904,20030812,0000004904-03-000286
43,4904,20031112,0000004904-03-000352
44,4962,20030515,0000004962-03-000093
45,4962,20030814,0000004962-03-000155
46,4962,20031114,0000004962-03-000215
47,4977,20030512,0000004977-03-000126
48,4977,20030812,0000950133-03-002828
49,4977,20031112,0000004977-03-000170
50,5272,20030514,0000950123-03-005820
51,5272,20030814,0000950123-03-009418
52,5272,20031114,0000950123-03-012664
53,5513,20030514,0000931763-03-001608
54,5513,20030813,0001193125-03-036008
55,5513,20031113,0001193125-03-080121
56,5981,20030514,0001017062-03-001233
57,5981,20030814,0001193125-03-037576
58,5981,20031114,0001193125-03-081721
59,6176,20030514,0000006176-03-000005
60,6176,20030815,0000006176-03-000009
61,6201,20030515,0000006201-03-000030
62,6201,20031024,0000006201-03-000058
63,6207,20030321,0000006207-03-000004
64,6207,20030915,0000006207-03-000011
65,6281,20030306,0000950135-03-001609
66,6281,20030820,0000950135-03-004538
67,6845,20030110,0001045969-03-000031
68,6845,20030709,0001193125-03-017756
69,6845,20031008,0001193125-03-059179
70,6951,20030311,0000006951-03-000006
71,6951,20030609,0000891618-03-002900
72,6951,20030909,0000891618-03-004714
73,6955,20030114,0000950131-03-000113
74,6955,20030711,0001193125-03-018577
75,7084,20030213,0000007084-03-000004
76,7084,20031112,0000007084-03-000173
77,7332,20030424,0000007332-03-000034
78,7332,20030729,0000007332-03-000059
79,7332,20031030,0000007332-03-000087
80,7536,20030514,0000007536-03-000019
81,7536,20030813,0000007536-03-000025
82,7536,20031113,0001206774-03-000833
83,7623,20030414,0000007623-03-000006
84,7623,20030715,0000007623-03-000008
85,7623,20031016,0000007623-03-000012
86,7789,20030513,0000007789-03-000028
87,7789,20030814,0000007789-03-000045
88,7789,20031112,0000007789-03-000054
89,8063,20030512,0000899797-03-000266
90,8063,20030812,0000899797-03-000414
91,8063,20031112,0001191857-03-000017
92,8146,20030605,0001193125-03-008332
93,8146,20031126,0001193125-03-086873
94,8177,20030514,0000008177-03-000052
95,8177,20030813,0000008177-03-000060
96,8177,20031112,0000008177-03-000064
97,8670,20030131,0000008670-03-000051
98,8670,20030502,0000008670-03-000082
99,8670,20031105,0000008670-03-000347
100,8818,20030513,0000898430-03-002893
101,8818,20031110,0001193125-03-076352
102,8858,20030127,0000950153-03-000094
103,8858,20030512,0000950153-03-001016
104,8858,20031114,0000950153-03-002332
